Year,AI Technology Type,Industry,Region,AI Rating Score,Investment in AI (USD Million),Adoption Rate (%),Innovation Index Score,AI Workforce (% of Total Workforce),Customer Satisfaction Score
2014,Predictive Analytics,Healthcare,Latin America,88.56821475796855,988.719544222789,39.92330126983528,97,2.706748200840765,8.4
2021,Predictive Analytics,Retail,Asia-Pacific,79.98924923308091,1664.0259809594318,31.032578670912066,95,4.719858231006375,9.0
2021,Computer Vision,Automotive,Asia-Pacific,63.36105625704284,1544.2952185092593,49.58890662533654,99,3.94839090326693,8.4
2014,Predictive Analytics,Finance,Europe,64.22651818505136,847.0423671496452,48.78787392668316,91,7.9505483886922415,7.8
2021,Computer Vision,Retail,Latin America,70.07518330407413,1992.95990862829,81.8724946216582,74,5.403620027285687,8.4
2022,Computer Vision,Automotive,Europe,89.84874065117846,514.2907782038997,23.693710372115817,55,9.202014299048226,9.1
2020,Machine Learning,Finance,Europe,66.03908045146953,1515.5900269054266,54.99429251125359,73,4.899011674067154,8.8
2023,Computer Vision,Finance,Latin America,65.64766445343543,1695.4414290853383,23.371511377539633,72,2.2146581303293833,7.8
2019,Computer Vision,Finance,North America,76.04598014212452,1003.6767394988793,23.727939764672765,91,2.02044319135822,8.6
2015,Robotics,Healthcare,Europe,76.43542413415419,972.3766101531796,21.745460799913406,80,2.379558128460819,8.1
2014,Computer Vision,Manufacturing,North America,91.40938309825356,1939.9111545056069,61.80668317042186,59,6.667482292495404,7.4
2021,Robotics,Healthcare,North America,96.44928981011878,837.7944966952884,57.02490368573771,51,5.34687387155917,7.9
2019,Predictive Analytics,Finance,North America,70.81499237993475,477.3607773361887,91.3276075994506,86,7.9616228891641185,8.1
2023,Predictive Analytics,Healthcare,Europe,72.0341647997328,1723.8550538345032,62.22234772884269,75,11.141075153385012,7.7
2022,Computer Vision,Healthcare,Asia-Pacific,91.44490845120188,570.0700890454419,53.089105462894295,72,5.995052009424964,9.2
2020,Machine Learning,Manufacturing,Europe,86.18094803365855,1089.0207326112502,95.01269080530645,87,6.662989722396369,7.8
2019,Natural Language Processing (NLP),Finance,Latin America,82.20413855117077,914.6048526936796,55.65738663939819,51,2.5834446470596575,7.2
2015,Machine Learning,Finance,North America,69.02478619123656,1095.5101117415736,17.495979485430745,80,3.4296185521043854,9.4
2015,Predictive Analytics,Finance,Middle East & Africa,55.941979716477434,814.0859351264041,72.0401944868422,91,3.771903594624674,8.3
2020,Robotics,Manufacturing,Middle East & Africa,54.511787817694184,1481.5652825186196,54.87522445151083,77,11.165007683388925,9.8
2018,Computer Vision,Automotive,Europe,74.55739201282479,2206.616043602089,80.3348351726406,93,2.585402960430389,9.5
2016,Computer Vision,Manufacturing,Middle East & Africa,95.67414551580072,1223.504510085841,23.52478355317112,74,4.192893399983197,9.6
2015,Machine Learning,Finance,Middle East & Africa,100.0,951.6798871594308,31.980540180586775,74,5.3143787677878205,7.2
2023,Machine Learning,Automotive,Latin America,92.9427319294459,901.9110022512801,21.69138139711528,95,6.173899367576698,9.8
2015,Predictive Analytics,Automotive,Middle East & Africa,71.49867179389187,806.3505602833817,27.64526112734504,75,6.634788841471492,9.7
2018,Computer Vision,Manufacturing,Middle East & Africa,100.0,1629.8493054317225,30.72991276014075,84,8.259213899929792,8.3
2019,Predictive Analytics,Manufacturing,Middle East & Africa,89.85260608531816,1839.5279525861818,78.42491088312619,75,3.5456413525152817,7.9
2016,Predictive Analytics,Retail,North America,56.740092212096314,1788.9363064058273,32.324888473224014,51,9.089967969643983,7.3
2018,Computer Vision,Retail,Middle East & Africa,75.44828474840521,2182.791538862948,55.33376463866574,55,3.061762300109449,7.7
2023,Robotics,Finance,Latin America,66.51029140772714,1494.7161528398995,52.39153539457415,66,3.2250010926554826,7.7
2023,Natural Language Processing (NLP),Automotive,North America,85.77087382655085,478.3357362134615,69.33430161203314,52,3.657194150312139,9.2
2017,Natural Language Processing (NLP),Healthcare,Middle East & Africa,86.22387525895533,1012.1972330457536,55.76940663560756,60,5.2257874753905424,9.4
2020,Natural Language Processing (NLP),Finance,Middle East & Africa,61.87560579437588,516.9217229889227,44.170182600654755,100,4.40283466834274,7.8
2016,Machine Learning,Retail,Middle East & Africa,63.965870398644256,819.9171152760545,38.62575737030898,65,6.257695303233195,7.7
2020,Predictive Analytics,Manufacturing,Europe,63.86203589316938,758.5227454187904,39.670320229351034,84,3.2684418394073713,8.1
2022,Predictive Analytics,Automotive,Asia-Pacific,84.4360977067268,830.9522994971527,62.607245364296794,63,4.572144949627091,7.8
2020,Robotics,Retail,Latin America,74.79401419574849,1240.1288392917256,66.76436018662321,66,3.3020174167811636,7.0
2015,Computer Vision,Healthcare,Middle East & Africa,74.38664734203685,1257.450589183767,80.81475516066332,62,4.304166706608909,8.2
2022,Natural Language Processing (NLP),Healthcare,Asia-Pacific,81.88744036655501,1040.9465892900023,47.23070635399073,81,3.5567963175002695,9.6
2022,Predictive Analytics,Healthcare,Middle East & Africa,67.74551860297908,694.9805813826691,61.176874264414664,94,5.1039042850103575,8.7
2014,Robotics,Healthcare,Europe,82.9980220996411,1609.1220747199118,42.507118933071766,60,5.8101375730584035,8.9
2023,Computer Vision,Automotive,Asia-Pacific,98.92194578766532,624.5874644206843,70.45384773039208,100,6.586049147158158,7.8
2018,Predictive Analytics,Healthcare,Middle East & Africa,90.15157394361174,1494.6730687207503,54.92030587842275,96,3.4622231364677467,7.9
2022,Computer Vision,Healthcare,Middle East & Africa,72.86962335065199,1044.9756320807635,31.961952428380872,98,7.000177788382662,9.9
2015,Machine Learning,Automotive,Europe,95.02873219294285,1513.202724718199,70.6150177257105,90,6.620312804121475,8.7
2019,Natural Language Processing (NLP),Automotive,Asia-Pacific,83.26194187577978,1658.4887972794884,72.55648020910202,86,4.447840425853522,7.8
2019,Predictive Analytics,Finance,Latin America,58.37804520189019,1367.8102469047021,42.385791042051245,61,9.994612265571401,9.2
2014,Robotics,Healthcare,Europe,85.04742536851747,911.9606652498212,53.33002792734086,80,8.26117679575524,9.3
2016,Robotics,Retail,Latin America,57.12335857270377,679.5167399871154,58.42608218940239,91,7.826488664360834,9.0
2023,Predictive Analytics,Retail,North America,69.52530111984208,729.8004934614588,42.5904753759004,51,3.9280803212080535,8.7
2017,Machine Learning,Automotive,Asia-Pacific,82.39729013847136,1626.7971632488473,88.7327043442814,57,7.080551283434126,9.7
2017,Computer Vision,Automotive,Middle East & Africa,65.89707059488357,587.1088841809375,38.91330189989232,72,8.086632317281378,8.9
2014,Natural Language Processing (NLP),Retail,North America,87.9003316696887,755.1454487117496,86.63706349972838,77,4.926166814529557,9.9
2019,Machine Learning,Healthcare,Asia-Pacific,79.3616405273552,788.2301904574485,28.043932374240725,50,6.85622767637275,7.3
2023,Machine Learning,Automotive,Middle East & Africa,90.16644295788608,1942.9452513858985,48.30944814783583,98,7.2980577586611854,7.4
2022,Predictive Analytics,Automotive,Asia-Pacific,72.9624569720708,868.0698439609978,38.542628091000594,95,7.521030772035275,7.3
2014,Robotics,Finance,North America,76.28278400836446,1809.9156823342898,58.60832444050557,99,5.905580800687519,8.5
2021,Computer Vision,Retail,Latin America,54.99102799879857,1623.1637078941826,71.91724154507128,64,4.98120321284375,9.4
2023,Natural Language Processing (NLP),Automotive,Latin America,83.92983150709964,1361.1484659040677,71.12790596617677,61,9.871879564112703,8.9
2019,Machine Learning,Healthcare,Middle East & Africa,78.21740103820883,1248.6261344020272,71.22696802385592,71,5.059162618871179,7.1
2018,Machine Learning,Manufacturing,North America,88.55691759313119,1162.829251689555,21.927454118466734,97,3.698077320689096,10.0
2022,Computer Vision,Retail,Asia-Pacific,87.71489087621998,507.75161284774725,82.7585395033237,79,3.0097260050898593,8.2
2018,Computer Vision,Finance,North America,70.12676287265876,829.7377844798957,53.39729523110324,78,2.5471495377399473,8.9
2018,Robotics,Healthcare,Asia-Pacific,96.22514731325764,1620.3449618397096,72.34020992149198,63,5.9586061207666186,9.5
2023,Computer Vision,Manufacturing,Europe,100.0,810.0164880141627,19.96389486953666,55,3.490094041179898,9.6
2020,Machine Learning,Retail,Middle East & Africa,74.35316826491307,985.8355436373547,70.73926498096635,56,8.911927093090027,7.6
2016,Robotics,Finance,Asia-Pacific,75.36619518898729,1624.2064751215655,43.07876482945328,56,3.968905861674622,7.6
2017,Natural Language Processing (NLP),Healthcare,Asia-Pacific,84.28022774565534,1001.8641606291055,40.24942085959412,99,11.277618647336292,7.9
2019,Natural Language Processing (NLP),Manufacturing,Asia-Pacific,75.8687292980539,1091.0429254400353,40.715239481475216,52,2.440440641853692,7.6
2022,Machine Learning,Finance,North America,85.18752341726335,1582.8194269788173,49.635030200347146,60,9.893389700104244,9.3
2018,Predictive Analytics,Manufacturing,Europe,85.66950512625634,1085.4485048694864,71.74007589831588,79,9.771327107894033,9.7
2015,Machine Learning,Automotive,Latin America,56.62826543007292,1235.105697224525,53.402861838418204,50,2.0046667937150184,7.6
2020,Machine Learning,Manufacturing,Middle East & Africa,86.17702500143697,1021.7611891280604,46.027116903669125,100,3.8908023245566103,7.7
2015,Machine Learning,Healthcare,North America,59.50458710735656,1319.8273223482256,45.27722184971077,54,2.111242581081921,8.0
2018,Computer Vision,Retail,North America,69.0992542808154,1463.1524628762904,100.0,56,7.069767158052681,9.6
2016,Predictive Analytics,Healthcare,Asia-Pacific,89.6405382718789,1467.1999037311346,22.57087036149395,69,5.623104847822924,7.9
2019,Natural Language Processing (NLP),Healthcare,Latin America,75.45463964663199,993.9258468633769,91.01009923881134,77,2.888013677799045,7.1
2021,Natural Language Processing (NLP),Automotive,Latin America,80.38811497655605,810.8614100897561,70.79168508037688,56,5.549744374388722,8.1
2016,Machine Learning,Retail,Middle East & Africa,93.03243656838211,1175.7601779296501,64.57063632401798,71,11.942629553104222,10.0
2019,Predictive Analytics,Finance,Latin America,81.85878313282004,1348.6564264752972,61.90633104952889,100,8.575229611763383,9.6
2015,Machine Learning,Automotive,Europe,60.44041432648136,1712.7268863993481,28.549813065497172,70,1.5397442818827423,8.9
2016,Computer Vision,Automotive,North America,74.93600407724679,568.7498755513537,39.634712528451715,96,4.1229843023715915,9.8
2015,Predictive Analytics,Manufacturing,Middle East & Africa,83.34188107474394,1743.1294785475798,75.76769434056133,67,9.451234621413814,7.7
2015,Computer Vision,Automotive,Latin America,62.94926409954833,700.6384773978531,95.37836668522911,75,2.987475896569306,7.2
2018,Robotics,Finance,Middle East & Africa,81.57804592752727,855.1017493642519,60.63673864121505,72,4.597019505480549,7.6
2023,Natural Language Processing (NLP),Automotive,Middle East & Africa,64.6907088335936,1329.569579628098,25.725803188711144,95,5.89252767475494,10.0
2022,Natural Language Processing (NLP),Finance,Middle East & Africa,100.0,1015.7149770316826,62.63058296053319,85,8.950880916652023,9.0
2017,Predictive Analytics,Healthcare,Latin America,96.27316400258756,1400.7285590576469,25.59067545159923,89,6.842361118356115,9.8
2019,Machine Learning,Retail,Europe,97.81031251591001,1413.7094871638205,53.307175029284764,99,3.3141651819380344,9.6
2015,Predictive Analytics,Manufacturing,Europe,100.0,1424.8067207897066,63.65631020261554,57,3.66262566585729,9.9
2023,Natural Language Processing (NLP),Retail,Europe,63.973845884724426,745.219046733151,19.40331469621695,52,4.806090397847206,8.9
2018,Machine Learning,Manufacturing,Middle East & Africa,84.53177641471184,814.6917089911728,21.529112170862,90,2.6949794684734822,8.1
2023,Robotics,Automotive,Middle East & Africa,76.8840750601803,1190.0442185273107,84.40591178282754,83,9.150601963418808,7.5
2020,Natural Language Processing (NLP),Healthcare,Europe,60.865222504453214,1472.0811730544353,22.315077257822164,60,4.072430117740988,9.4
2021,Predictive Analytics,Automotive,Latin America,100.0,1594.4024578660028,39.23207051337502,91,4.804261056011177,9.4
2019,Predictive Analytics,Finance,Middle East & Africa,90.34129998524801,1314.7077180813553,58.39328588394085,80,5.146556150204923,9.4
2019,Robotics,Healthcare,North America,66.60273222222392,1775.3304023820194,77.1169937112048,98,5.650049582780723,8.3
2018,Natural Language Processing (NLP),Finance,Latin America,70.30384856400825,914.226846412273,84.68311735017345,84,7.719616460154496,9.7
2016,Robotics,Manufacturing,Europe,61.167556490757285,973.2311783350098,89.15769564799612,85,7.360143951530343,7.2
2019,Robotics,Finance,Latin America,91.17605886585287,1144.3634933071955,83.16575351840584,87,5.260601971715004,8.5
